om,yr,mo,dy,date,time,tz,datetime_utc,st,stf,mag,inj,fat,loss,slat,slon,elat,elon,len,wid,ns,sn,f1,f2,f3,f4,fc,victims_total,is_deadly,area_sq_mi,has_loss,season,mag_category,us_region,loss_log10,mag_factor,state_annual_fat_total,state_annual_avg_mag,time_of_day
621440,2022,5,1,2022-05-01,16:04:00,America/Chicago,2022-05-01T21:04:00Z,TX,48,1,0,0,50000,31.1341,-102.9928,31.0948,-102.931,4.55,100,1,1,371,0,0,0,FALSE,0,FALSE,0.25852272727272724,TRUE,2,Weak,South,4.698970004336019,1,3,1.0254237288135593,Evening
375,1968,6,22,1968-06-22,16:55:00,America/Chicago,1968-06-22T21:55:00Z,KS,20,0,0,0,5000,38.9,-102,38.92,-101.97,0.1,500,1,1,199,0,0,0,FALSE,0,FALSE,0.02840909090909091,TRUE,3,Weak,Midwest,3.6989700043360187,0,0,1.0952380952380953,Evening
1120,2005,8,29,2005-08-29,15:15:00,America/Chicago,2005-08-29T20:15:00Z,GA,13,0,0,0,400000,33.8,-84.87,33.82,-84.9,1,50,1,1,223,0,0,0,FALSE,0,FALSE,0.028409090909090908,TRUE,3,Weak,South,5.6020599913279625,0,4,0.48148148148148145,Evening
643,2009,6,10,2009-06-10,14:30:00,America/Chicago,2009-06-10T19:30:00Z,CO,8,0,0,0,10000,40.52,-104.85,40.52,-104.85,0.01,50,1,1,123,0,0,0,FALSE,0,FALSE,2.840909090909091e-4,TRUE,3,Weak,West,4,0,0,0.11904761904761904,Evening
621906,2022,9,22,2022-09-22,13:03:00,America/Chicago,2022-09-22T18:03:00Z,NM,35,1,0,0,50000,36.24,-108.18,36.2407,-108.1784,0.1,20,1,1,45,0,0,0,FALSE,0,FALSE,0.0011363636363636365,TRUE,4,Weak,West,4.698970004336019,1,0,0.5,Evening
20,1998,2,10,1998-02-10,19:05:00,America/Chicago,1998-02-11T01:05:00Z,MS,28,0,0,0,3000,33.65,-90.22,33.65,-90.22,1.5,50,1,1,83,0,0,0,FALSE,0,FALSE,0.04261363636363636,TRUE,1,Weak,South,3.4771212547196626,0,0,0.42857142857142855,Night
41,1989,3,5,1989-03-05,13:00:00,America/Chicago,1989-03-05T19:00:00Z,AL,1,0,0,0,5000,33.68,-86.87,0,0,0.3,20,1,1,73,0,0,0,FALSE,0,FALSE,0.003409090909090909,TRUE,2,Weak,South,3.6989700043360187,0,22,1.0434782608695652,Evening
278,1999,4,26,1999-04-26,13:01:00,America/Chicago,1999-04-26T18:01:00Z,AR,5,2,2,0,315000,35.28,-93.13,35.33,-93.07,6.5,150,1,1,115,0,0,0,FALSE,2,FALSE,0.5539772727272727,TRUE,2,Strong,South,5.498310553789601,2,8,1.145631067961165,Evening
108,1957,4,3,1957-04-03,19:15:00,America/Chicago,1957-04-04T01:15:00Z,MS,28,1,4,0,500000,33.03,-91.03,33.15,-90.88,11.9,10,1,1,151,0,0,0,FALSE,4,FALSE,0.06761363636363636,TRUE,2,Weak,South,5.698970004336019,1,6,1.6538461538461537,Night
1048,1990,10,3,1990-10-03,20:30:00,America/Chicago,1990-10-04T01:30:00Z,IL,17,1,0,0,500000,37.9,-88.62,37.92,-88.57,3,50,1,1,165,65,0,0,FALSE,0,FALSE,0.08522727272727272,TRUE,4,Weak,Midwest,5.698970004336019,1,30,1.3673469387755102,Night
227,1980,5,12,1980-05-12,18:45:00,America/Chicago,1980-05-12T23:45:00Z,MO,29,1,0,0,500000,38.75,-92.13,0,0,0.5,50,1,1,27,0,0,0,FALSE,0,FALSE,0.014204545454545454,TRUE,2,Weak,Midwest,5.698970004336019,1,0,2,Evening
230,1978,5,11,1978-05-11,19:15:00,America/Chicago,1978-05-12T00:15:00Z,TX,48,0,0,0,10000,32.25,-95.2,0,0,0.1,10,1,1,423,0,0,0,FALSE,0,FALSE,5.681818181818183e-4,TRUE,2,Weak,South,4,0,1,0.4744525547445255,Night
615140,2017,5,10,2017-05-10,14:58:00,America/Chicago,2017-05-10T19:58:00Z,TX,48,1,0,0,50000,34.3019,-100.0641,34.3051,-100.0462,1.05,25,1,1,101,0,0,0,FALSE,0,FALSE,0.014914772727272728,TRUE,2,Weak,South,4.698970004336019,1,4,0.6467065868263473,Evening
85,1977,3,30,1977-03-30,17:02:00,America/Chicago,1977-03-30T23:02:00Z,OH,39,1,0,0,50000,41.47,-81.07,0,0,0.5,50,1,1,55,0,0,0,FALSE,0,FALSE,0.014204545454545454,TRUE,2,Weak,Midwest,4.698970004336019,1,0,1,Evening
536,1998,3,28,1998-03-28,19:20:00,America/Chicago,1998-03-29T01:20:00Z,CA,6,0,0,0,1000,37.67,-121.33,37.67,-121.33,0.1,30,1,1,77,0,0,0,FALSE,0,FALSE,0.0017045454545454545,TRUE,2,Weak,West,3,0,0,0.32,Night
621187,2022,3,30,2022-03-30,19:55:00,America/Chicago,2022-03-31T00:55:00Z,MS,28,1,0,0,50000,31.6648,-88.542,31.6681,-88.5396,0.27,50,1,1,153,0,0,0,FALSE,0,FALSE,0.007670454545454545,TRUE,2,Weak,South,4.698970004336019,1,0,0.9915254237288136,Night
478,1968,7,30,1968-07-30,17:25:00,America/Chicago,1968-07-30T22:25:00Z,NE,31,2,2,0,500000,41.17,-97.65,41.12,-97.53,6.4,200,1,1,143,0,0,0,FALSE,2,FALSE,0.7272727272727273,TRUE,3,Strong,Midwest,5.698970004336019,2,0,0.8095238095238095,Evening
